
248in    -78,000

CSV File
Revs, Encoder, Ultra_in
-.3202,-26229,25,on
-.3324,-27228,31,on
-.3800,-31132,35,on
-.3800,-31132,37.8,on
-.3799,-31119,39,off
-.4171,-34171,43,off
-.4375,-35840,49,off
-.4675,-38297,54,off
-.5127,-42000,58,off
-.5615,-46000,63,off
-.5981,-49000,69,off
-.6348,-52000,74,off
-.6958,-57000,80,off
-.7446,-61000,90,off
-.8057,-66000,100,off
-.8544,-70000,113,off
-.8544,-70000,124,off
-.8911,-73000,133,off
-.9277,-76000,146,off
-.9277,-76000,156,off
-.9277,-76000,164,off
-.9277,-76000,174,off
-.9277,-76000,186,off
-.8911,-73000,216,off

81920






